participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._round_number,participant._current_page_name,participant.ip_address,participant.time_started,participant.exclude_from_data_analysis,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,player.id_in_group,player.payoff,group.id_in_subsession,subsession.round_number,session.code,session.label,session.experimenter_name,session.time_scheduled,session.time_started,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo
58,xj972bj1,,0,11,10,ultimatum_banker,1,Validation,10.93.232.18,2017-02-23 04:25:33.633499+00:00,0,1,A2TT6FAIWFD25N,32EYX73OY1OHC9NH0HQFQOA4W7OURK,58,0,1,1,jdgb9oif,,,,,3XUSYT70ITG49TU2U7CA7899NYD0DB,3PUN5J88E7Q1F6QW4EKD7X76U3VADO,,0
59,ufsoqqtg,,0,11,10,ultimatum_banker,1,Validation,10.142.142.206,2017-02-23 04:58:57.572718+00:00,0,1,AAWX7QFQUNM6D,3SKEMFQBZ4KXR8397UGDTK614O4K83,59,0,1,1,jdgb9oif,,,,,3XUSYT70ITG49TU2U7CA7899NYD0DB,3PUN5J88E7Q1F6QW4EKD7X76U3VADO,,0
60,lgiakpje,,0,11,10,ultimatum_banker,1,Validation,10.13.211.115,2017-02-23 05:32:33.654200+00:00,0,1,A2TY9UFU76QU6K,3YT88D1N09DBQBX3VDLH23YQO2EK3D,60,0,1,1,jdgb9oif,,,,,3XUSYT70ITG49TU2U7CA7899NYD0DB,3PUN5J88E7Q1F6QW4EKD7X76U3VADO,,0
61,szotvn1l,,0,0,10,,,,,,0,0,,,61,0,1,1,jdgb9oif,,,,,3XUSYT70ITG49TU2U7CA7899NYD0DB,3PUN5J88E7Q1F6QW4EKD7X76U3VADO,,0
62,4c6k8ws6,,0,0,10,,,,,,0,0,,,62,0,1,1,jdgb9oif,,,,,3XUSYT70ITG49TU2U7CA7899NYD0DB,3PUN5J88E7Q1F6QW4EKD7X76U3VADO,,0
63,9lk4kv9i,,0,0,10,,,,,,0,0,,,63,0,1,1,jdgb9oif,,,,,3XUSYT70ITG49TU2U7CA7899NYD0DB,3PUN5J88E7Q1F6QW4EKD7X76U3VADO,,0
64,68631r90,,0,0,10,,,,,,0,0,,,64,0,1,1,jdgb9oif,,,,,3XUSYT70ITG49TU2U7CA7899NYD0DB,3PUN5J88E7Q1F6QW4EKD7X76U3VADO,,0
65,to9b7yjs,,0,0,10,,,,,,0,0,,,65,0,1,1,jdgb9oif,,,,,3XUSYT70ITG49TU2U7CA7899NYD0DB,3PUN5J88E7Q1F6QW4EKD7X76U3VADO,,0
66,647ukxah,,0,0,10,,,,,,0,0,,,66,0,1,1,jdgb9oif,,,,,3XUSYT70ITG49TU2U7CA7899NYD0DB,3PUN5J88E7Q1F6QW4EKD7X76U3VADO,,0
67,35gww4cr,,0,0,10,,,,,,0,0,,,67,0,1,1,jdgb9oif,,,,,3XUSYT70ITG49TU2U7CA7899NYD0DB,3PUN5J88E7Q1F6QW4EKD7X76U3VADO,,0
68,2n660whq,,0,0,10,,,,,,0,0,,,68,0,1,1,jdgb9oif,,,,,3XUSYT70ITG49TU2U7CA7899NYD0DB,3PUN5J88E7Q1F6QW4EKD7X76U3VADO,,0
69,z6jp7vhe,,0,0,10,,,,,,0,0,,,69,0,1,1,jdgb9oif,,,,,3XUSYT70ITG49TU2U7CA7899NYD0DB,3PUN5J88E7Q1F6QW4EKD7X76U3VADO,,0
70,9x8jt8on,,0,0,10,,,,,,0,0,,,70,0,1,1,jdgb9oif,,,,,3XUSYT70ITG49TU2U7CA7899NYD0DB,3PUN5J88E7Q1F6QW4EKD7X76U3VADO,,0
